"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","M","1999-03",7.012164,
"AUS","UNEMP","TOT","PC_LF","M","1999-04",6.978866,
"AUS","UNEMP","TOT","PC_LF","M","1999-05",7.024607,
"AUS","UNEMP","TOT","PC_LF","M","1999-06",6.653488,
"AUS","UNEMP","TOT","PC_LF","M","1999-07",6.67446,
"AUS","UNEMP","TOT","PC_LF","M","1999-08",6.905176,
"AUS","UNEMP","TOT","PC_LF","M","1999-09",7.040488,
"AUS","UNEMP","TOT","PC_LF","M","1999-10",6.77562,
"AUS","UNEMP","TOT","PC_LF","M","1999-11",6.438864,
"AUS","UNEMP","TOT","PC_LF","M","1999-12",6.683872,
"AUS","UNEMP","TOT","PC_LF","M","2000-01",6.767613,
"AUS","UNEMP","TOT","PC_LF","M","2000-02",6.618626,
"AUS","UNEMP","TOT","PC_LF","M","2000-03",6.564656,
"AUS","UNEMP","TOT","PC_LF","M","2000-04",6.375939,
"AUS","UNEMP","TOT","PC_LF","M","2000-05",6.41411,
"AUS","UNEMP","TOT","PC_LF","M","2000-06",6.11516,
"AUS","UNEMP","TOT","PC_LF","M","2000-07",5.953466,
"AUS","UNEMP","TOT","PC_LF","M","2000-08",6.0507,
"AUS","UNEMP","TOT","PC_LF","M","2000-09",5.962381,
"AUS","UNEMP","TOT","PC_LF","M","2000-10",6.00907,
"AUS","UNEMP","TOT","PC_LF","M","2000-11",6.260473,
"AUS","UNEMP","TOT","PC_LF","M","2000-12",6.24337,
"AUS","UNEMP","TOT","PC_LF","M","2001-01",6.140346,
"AUS","UNEMP","TOT","PC_LF","M","2001-02",6.501278,
"AUS","UNEMP","TOT","PC_LF","M","2001-03",6.458235,
"AUS","UNEMP","TOT","PC_LF","M","2001-04",6.781956,
"AUS","UNEMP","TOT","PC_LF","M","2001-05",6.892729,
"AUS","UNEMP","TOT","PC_LF","M","2001-06",6.932919,
"AUS","UNEMP","TOT","PC_LF","M","2001-07",6.879248,
"AUS","UNEMP","TOT","PC_LF","M","2001-08",6.880209,
"AUS","UNEMP","TOT","PC_LF","M","2001-09",6.840984,
"AUS","UNEMP","TOT","PC_LF","M","2001-10",7.192822,
"AUS","UNEMP","TOT","PC_LF","M","2001-11",6.883215,
"AUS","UNEMP","TOT","PC_LF","M","2001-12",6.860779,
"AUS","UNEMP","TOT","PC_LF","M","2002-01",6.91185,
"AUS","UNEMP","TOT","PC_LF","M","2002-02",6.535929,
"AUS","UNEMP","TOT","PC_LF","M","2002-03",6.429971,
"AUS","UNEMP","TOT","PC_LF","M","2002-04",6.345513,
"AUS","UNEMP","TOT","PC_LF","M","2002-05",6.372351,
"AUS","UNEMP","TOT","PC_LF","M","2002-06",6.495779,
"AUS","UNEMP","TOT","PC_LF","M","2002-07",6.179095,
"AUS","UNEMP","TOT","PC_LF","M","2002-08",6.348341,
"AUS","UNEMP","TOT","PC_LF","M","2002-09",6.311278,
"AUS","UNEMP","TOT","PC_LF","M","2002-10",6.127832,
"AUS","UNEMP","TOT","PC_LF","M","2002-11",6.161131,
"AUS","UNEMP","TOT","PC_LF","M","2002-12",6.181746,
"AUS","UNEMP","TOT","PC_LF","M","2003-01",6.080025,
"AUS","UNEMP","TOT","PC_LF","M","2003-02",5.9546,
"AUS","UNEMP","TOT","PC_LF","M","2003-03",6.130935,
"AUS","UNEMP","TOT","PC_LF","M","2003-04",6.029799,
"AUS","UNEMP","TOT","PC_LF","M","2003-05",6.068865,
"AUS","UNEMP","TOT","PC_LF","M","2003-06",6.054793,
"AUS","UNEMP","TOT","PC_LF","M","2003-07",6.127405,
"AUS","UNEMP","TOT","PC_LF","M","2003-08",5.816926,
"AUS","UNEMP","TOT","PC_LF","M","2003-09",5.774448,
"AUS","UNEMP","TOT","PC_LF","M","2003-10",5.783013,
"AUS","UNEMP","TOT","PC_LF","M","2003-11",5.660219,
"AUS","UNEMP","TOT","PC_LF","M","2003-12",5.680954,
"AUS","UNEMP","TOT","PC_LF","M","2004-01",5.530143,
"AUS","UNEMP","TOT","PC_LF","M","2004-02",5.642787,
"AUS","UNEMP","TOT","PC_LF","M","2004-03",5.437368,
"AUS","UNEMP","TOT","PC_LF","M","2004-04",5.507513,
"AUS","UNEMP","TOT","PC_LF","M","2004-05",5.336526,
"AUS","UNEMP","TOT","PC_LF","M","2004-06",5.463387,
"AUS","UNEMP","TOT","PC_LF","M","2004-07",5.549915,
"AUS","UNEMP","TOT","PC_LF","M","2004-08",5.51602,
"AUS","UNEMP","TOT","PC_LF","M","2004-09",5.36954,
"AUS","UNEMP","TOT","PC_LF","M","2004-10",5.122509,
"AUS","UNEMP","TOT","PC_LF","M","2004-11",5.16134,
"AUS","UNEMP","TOT","PC_LF","M","2004-12",5.06836,
"AUS","UNEMP","TOT","PC_LF","M","2005-01",5.073404,
"AUS","UNEMP","TOT","PC_LF","M","2005-02",5.084337,
"AUS","UNEMP","TOT","PC_LF","M","2005-03",5.162847,
"AUS","UNEMP","TOT","PC_LF","M","2005-04",5.122432,
"AUS","UNEMP","TOT","PC_LF","M","2005-05",5.099553,
"AUS","UNEMP","TOT","PC_LF","M","2005-06",4.95006,
"AUS","UNEMP","TOT","PC_LF","M","2005-07",4.971436,
"AUS","UNEMP","TOT","PC_LF","M","2005-08",4.900288,
"AUS","UNEMP","TOT","PC_LF","M","2005-09",5.001093,
"AUS","UNEMP","TOT","PC_LF","M","2005-10",5.015396,
"AUS","UNEMP","TOT","PC_LF","M","2005-11",4.936684,
"AUS","UNEMP","TOT","PC_LF","M","2005-12",5.069946,
"AUS","UNEMP","TOT","PC_LF","M","2006-01",5.162737,
"AUS","UNEMP","TOT","PC_LF","M","2006-02",5.104314,
"AUS","UNEMP","TOT","PC_LF","M","2006-03",4.86713,
"AUS","UNEMP","TOT","PC_LF","M","2006-04",4.966587,
"AUS","UNEMP","TOT","PC_LF","M","2006-05",4.798285,
"AUS","UNEMP","TOT","PC_LF","M","2006-06",4.8082,
"AUS","UNEMP","TOT","PC_LF","M","2006-07",4.655898,
"AUS","UNEMP","TOT","PC_LF","M","2006-08",4.710861,
"AUS","UNEMP","TOT","PC_LF","M","2006-09",4.664739,
"AUS","UNEMP","TOT","PC_LF","M","2006-10",4.462949,
"AUS","UNEMP","TOT","PC_LF","M","2006-11",4.515044,
"AUS","UNEMP","TOT","PC_LF","M","2006-12",4.568229,
"AUS","UNEMP","TOT","PC_LF","M","2007-01",4.554507,
"AUS","UNEMP","TOT","PC_LF","M","2007-02",4.635687,
"AUS","UNEMP","TOT","PC_LF","M","2007-03",4.459747,
"AUS","UNEMP","TOT","PC_LF","M","2007-04",4.386854,
"AUS","UNEMP","TOT","PC_LF","M","2007-05",4.26464,
"AUS","UNEMP","TOT","PC_LF","M","2007-06",4.324744,
"AUS","UNEMP","TOT","PC_LF","M","2007-07",4.252324,
"AUS","UNEMP","TOT","PC_LF","M","2007-08",4.296235,
"AUS","UNEMP","TOT","PC_LF","M","2007-09",4.212207,
"AUS","UNEMP","TOT","PC_LF","M","2007-10",4.326268,
"AUS","UNEMP","TOT","PC_LF","M","2007-11",4.426744,
"AUS","UNEMP","TOT","PC_LF","M","2007-12",4.308852,
"AUS","UNEMP","TOT","PC_LF","M","2008-01",4.219396,
"AUS","UNEMP","TOT","PC_LF","M","2008-02",3.980927,
"AUS","UNEMP","TOT","PC_LF","M","2008-03",4.057263,
"AUS","UNEMP","TOT","PC_LF","M","2008-04",4.266634,
"AUS","UNEMP","TOT","PC_LF","M","2008-05",4.266162,
"AUS","UNEMP","TOT","PC_LF","M","2008-06",4.244896,
"AUS","UNEMP","TOT","PC_LF","M","2008-07",4.249285,
"AUS","UNEMP","TOT","PC_LF","M","2008-08",4.011554,
"AUS","UNEMP","TOT","PC_LF","M","2008-09",4.288196,
"AUS","UNEMP","TOT","PC_LF","M","2008-10",4.29041,
"AUS","UNEMP","TOT","PC_LF","M","2008-11",4.462875,
"AUS","UNEMP","TOT","PC_LF","M","2008-12",4.57057,
"AUS","UNEMP","TOT","PC_LF","M","2009-01",4.906723,
"AUS","UNEMP","TOT","PC_LF","M","2009-02",5.305967,
"AUS","UNEMP","TOT","PC_LF","M","2009-03",5.711448,
"AUS","UNEMP","TOT","PC_LF","M","2009-04",5.515021,
"AUS","UNEMP","TOT","PC_LF","M","2009-05",5.811332,
"AUS","UNEMP","TOT","PC_LF","M","2009-06",5.863658,
"AUS","UNEMP","TOT","PC_LF","M","2009-07",5.670646,
"AUS","UNEMP","TOT","PC_LF","M","2009-08",5.706333,
"AUS","UNEMP","TOT","PC_LF","M","2009-09",5.661001,
"AUS","UNEMP","TOT","PC_LF","M","2009-10",5.624524,
"AUS","UNEMP","TOT","PC_LF","M","2009-11",5.558368,
"AUS","UNEMP","TOT","PC_LF","M","2009-12",5.491299,
"AUS","UNEMP","TOT","PC_LF","M","2010-01",5.264519,
"AUS","UNEMP","TOT","PC_LF","M","2010-02",5.304284,
"AUS","UNEMP","TOT","PC_LF","M","2010-03",5.422163,
"AUS","UNEMP","TOT","PC_LF","M","2010-04",5.499869,
"AUS","UNEMP","TOT","PC_LF","M","2010-05",5.228573,
"AUS","UNEMP","TOT","PC_LF","M","2010-06",5.147316,
"AUS","UNEMP","TOT","PC_LF","M","2010-07",5.285559,
"AUS","UNEMP","TOT","PC_LF","M","2010-08",5.023103,
"AUS","UNEMP","TOT","PC_LF","M","2010-09",5.05478,
"AUS","UNEMP","TOT","PC_LF","M","2010-10",5.287619,
"AUS","UNEMP","TOT","PC_LF","M","2010-11",5.108689,
"AUS","UNEMP","TOT","PC_LF","M","2010-12",4.876449,
"AUS","UNEMP","TOT","PC_LF","M","2011-01",5.00107,
"AUS","UNEMP","TOT","PC_LF","M","2011-02",4.980987,
"AUS","UNEMP","TOT","PC_LF","M","2011-03",4.924342,
"AUS","UNEMP","TOT","PC_LF","M","2011-04",4.960238,
"AUS","UNEMP","TOT","PC_LF","M","2011-05",5.011971,
"AUS","UNEMP","TOT","PC_LF","M","2011-06",4.920881,
"AUS","UNEMP","TOT","PC_LF","M","2011-07",5.087933,
"AUS","UNEMP","TOT","PC_LF","M","2011-08",5.258953,
"AUS","UNEMP","TOT","PC_LF","M","2011-09",5.223709,
"AUS","UNEMP","TOT","PC_LF","M","2011-10",5.191962,
"AUS","UNEMP","TOT","PC_LF","M","2011-11",5.230274,
"AUS","UNEMP","TOT","PC_LF","M","2011-12",5.195847,
"AUS","UNEMP","TOT","PC_LF","M","2012-01",5.041757,
"AUS","UNEMP","TOT","PC_LF","M","2012-02",5.206713,
"AUS","UNEMP","TOT","PC_LF","M","2012-03",5.178146,
"AUS","UNEMP","TOT","PC_LF","M","2012-04",4.99447,
"AUS","UNEMP","TOT","PC_LF","M","2012-05",5.200245,
"AUS","UNEMP","TOT","PC_LF","M","2012-06",5.169402,
"AUS","UNEMP","TOT","PC_LF","M","2012-07",5.174395,
"AUS","UNEMP","TOT","PC_LF","M","2012-08",5.147674,
"AUS","UNEMP","TOT","PC_LF","M","2012-09",5.492599,
"AUS","UNEMP","TOT","PC_LF","M","2012-10",5.417442,
"AUS","UNEMP","TOT","PC_LF","M","2012-11",5.256084,
"AUS","UNEMP","TOT","PC_LF","M","2012-12",5.430982,
"AUS","UNEMP","TOT","PC_LF","M","2013-01",5.379078,
"AUS","UNEMP","TOT","PC_LF","M","2013-02",5.4164,
"AUS","UNEMP","TOT","PC_LF","M","2013-03",5.630442,
"AUS","UNEMP","TOT","PC_LF","M","2013-04",5.588892,
"AUS","UNEMP","TOT","PC_LF","M","2013-05",5.611657,
"AUS","UNEMP","TOT","PC_LF","M","2013-06",5.702724,
"AUS","UNEMP","TOT","PC_LF","M","2013-07",5.622475,
"AUS","UNEMP","TOT","PC_LF","M","2013-08",5.831568,
"AUS","UNEMP","TOT","PC_LF","M","2013-09",5.712311,
"AUS","UNEMP","TOT","PC_LF","M","2013-10",5.833535,
"AUS","UNEMP","TOT","PC_LF","M","2013-11",5.796808,
"AUS","UNEMP","TOT","PC_LF","M","2013-12",5.900445,
"AUS","UNEMP","TOT","PC_LF","M","2014-01",5.920677,
"AUS","UNEMP","TOT","PC_LF","M","2014-02",5.900854,
"AUS","UNEMP","TOT","PC_LF","M","2014-03",5.861494,
"AUS","UNEMP","TOT","PC_LF","M","2014-04",5.811244,
"AUS","UNEMP","TOT","PC_LF","M","2014-05",5.930802,
"AUS","UNEMP","TOT","PC_LF","M","2014-06",6.056143,
"AUS","UNEMP","TOT","PC_LF","M","2014-07",6.175675,
"AUS","UNEMP","TOT","PC_LF","M","2014-08",6.095548,
"AUS","UNEMP","TOT","PC_LF","M","2014-09",6.230132,
"AUS","UNEMP","TOT","PC_LF","M","2014-10",6.380044,
"AUS","UNEMP","TOT","PC_LF","M","2014-11",6.296992,
"AUS","UNEMP","TOT","PC_LF","M","2014-12",6.10214,
"AUS","UNEMP","TOT","PC_LF","M","2015-01",6.317393,
"AUS","UNEMP","TOT","PC_LF","M","2015-02",6.106819,
"AUS","UNEMP","TOT","PC_LF","M","2015-03",6.084215,
"AUS","UNEMP","TOT","PC_LF","M","2015-04",6.128793,
"AUS","UNEMP","TOT","PC_LF","M","2015-05",5.933242,
"AUS","UNEMP","TOT","PC_LF","M","2015-06",6.017508,
"CAN","UNEMP","TOT","PC_LF","M","1993-01",11.2,
"CAN","UNEMP","TOT","PC_LF","M","1993-02",11,
"CAN","UNEMP","TOT","PC_LF","M","1993-03",11.2,
"CAN","UNEMP","TOT","PC_LF","M","1993-04",11.6,
"CAN","UNEMP","TOT","PC_LF","M","1993-05",11.6,
"CAN","UNEMP","TOT","PC_LF","M","1993-06",11.7,
"CAN","UNEMP","TOT","PC_LF","M","1993-07",11.6,
"CAN","UNEMP","TOT","PC_LF","M","1993-08",11.2,
"CAN","UNEMP","TOT","PC_LF","M","1993-09",11.5,
"CAN","UNEMP","TOT","PC_LF","M","1993-10",11.3,
"CAN","UNEMP","TOT","PC_LF","M","1993-11",11.2,
"CAN","UNEMP","TOT","PC_LF","M","1993-12",11.4,
"CAN","UNEMP","TOT","PC_LF","M","1994-01",11.4,
"CAN","UNEMP","TOT","PC_LF","M","1994-02",11.1,
"CAN","UNEMP","TOT","PC_LF","M","1994-03",10.6,
"CAN","UNEMP","TOT","PC_LF","M","1994-04",10.9,
"CAN","UNEMP","TOT","PC_LF","M","1994-05",10.7,
"CAN","UNEMP","TOT","PC_LF","M","1994-06",10.3,
"CAN","UNEMP","TOT","PC_LF","M","1994-07",10.1,
"CAN","UNEMP","TOT","PC_LF","M","1994-08",10.2,
"CAN","UNEMP","TOT","PC_LF","M","1994-09",10.1,
"CAN","UNEMP","TOT","PC_LF","M","1994-10",10,
"CAN","UNEMP","TOT","PC_LF","M","1994-11",9.7,
"CAN","UNEMP","TOT","PC_LF","M","1994-12",9.6,
"CAN","UNEMP","TOT","PC_LF","M","1995-01",9.6,
"CAN","UNEMP","TOT","PC_LF","M","1995-02",9.6,
"CAN","UNEMP","TOT","PC_LF","M","1995-03",9.7,
"CAN","UNEMP","TOT","PC_LF","M","1995-04",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1995-05",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1995-06",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1995-07",9.6,
"CAN","UNEMP","TOT","PC_LF","M","1995-08",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1995-09",9.2,
"CAN","UNEMP","TOT","PC_LF","M","1995-10",9.3,
"CAN","UNEMP","TOT","PC_LF","M","1995-11",9.2,
"CAN","UNEMP","TOT","PC_LF","M","1995-12",9.4,
"CAN","UNEMP","TOT","PC_LF","M","1996-01",9.4,
"CAN","UNEMP","TOT","PC_LF","M","1996-02",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1996-03",9.6,
"CAN","UNEMP","TOT","PC_LF","M","1996-04",9.3,
"CAN","UNEMP","TOT","PC_LF","M","1996-05",9.2,
"CAN","UNEMP","TOT","PC_LF","M","1996-06",9.8,
"CAN","UNEMP","TOT","PC_LF","M","1996-07",9.7,
"CAN","UNEMP","TOT","PC_LF","M","1996-08",9.4,
"CAN","UNEMP","TOT","PC_LF","M","1996-09",9.9,
"CAN","UNEMP","TOT","PC_LF","M","1996-10",9.9,
"CAN","UNEMP","TOT","PC_LF","M","1996-11",9.9,
"CAN","UNEMP","TOT","PC_LF","M","1996-12",9.7,
"CAN","UNEMP","TOT","PC_LF","M","1997-01",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1997-02",9.5,
"CAN","UNEMP","TOT","PC_LF","M","1997-03",9.3,
"CAN","UNEMP","TOT","PC_LF","M","1997-04",9.4,
"CAN","UNEMP","TOT","PC_LF","M","1997-05",9.4,
"CAN","UNEMP","TOT","PC_LF","M","1997-06",9.1,
"CAN","UNEMP","TOT","PC_LF","M","1997-07",8.9,
"CAN","UNEMP","TOT","PC_LF","M","1997-08",8.9,
"CAN","UNEMP","TOT","PC_LF","M","1997-09",8.8,
"CAN","UNEMP","TOT","PC_LF","M","1997-10",8.9,
"CAN","UNEMP","TOT","PC_LF","M","1997-11",8.9,
"CAN","UNEMP","TOT","PC_LF","M","1997-12",8.5,
"CAN","UNEMP","TOT","PC_LF","M","1998-01",8.8,
"CAN","UNEMP","TOT","PC_LF","M","1998-02",8.6,
"CAN","UNEMP","TOT","PC_LF","M","1998-03",8.4,
"CAN","UNEMP","TOT","PC_LF","M","1998-04",8.3,
"CAN","UNEMP","TOT","PC_LF","M","1998-05",8.3,
"CAN","UNEMP","TOT","PC_LF","M","1998-06",8.4,
"CAN","UNEMP","TOT","PC_LF","M","1998-07",8.3,
"CAN","UNEMP","TOT","PC_LF","M","1998-08",8.1,
"CAN","UNEMP","TOT","PC_LF","M","1998-09",8.2,
"CAN","UNEMP","TOT","PC_LF","M","1998-10",8,
"CAN","UNEMP","TOT","PC_LF","M","1998-11",8,
"CAN","UNEMP","TOT","PC_LF","M","1998-12",8.1,
"CAN","UNEMP","TOT","PC_LF","M","1999-01",7.9,
"CAN","UNEMP","TOT","PC_LF","M","1999-02",7.9,
"CAN","UNEMP","TOT","PC_LF","M","1999-03",7.9,
"CAN","UNEMP","TOT","PC_LF","M","1999-04",8.2,
"CAN","UNEMP","TOT","PC_LF","M","1999-05",7.9,
"CAN","UNEMP","TOT","PC_LF","M","1999-06",7.6,
"CAN","UNEMP","TOT","PC_LF","M","1999-07",7.6,
"CAN","UNEMP","TOT","PC_LF","M","1999-08",7.4,
"CAN","UNEMP","TOT","PC_LF","M","1999-09",7.5,
"CAN","UNEMP","TOT","PC_LF","M","1999-10",7.2,
"CAN","UNEMP","TOT","PC_LF","M","1999-11",6.9,
"CAN","UNEMP","TOT","PC_LF","M","1999-12",6.8,
"CAN","UNEMP","TOT","PC_LF","M","2000-01",6.8,
"CAN","UNEMP","TOT","PC_LF","M","2000-02",6.9,
"CAN","UNEMP","TOT","PC_LF","M","2000-03",6.9,
"CAN","UNEMP","TOT","PC_LF","M","2000-04",6.7,
"CAN","UNEMP","TOT","PC_LF","M","2000-05",6.6,
"CAN","UNEMP","TOT","PC_LF","M","2000-06",6.7,
"CAN","UNEMP","TOT","PC_LF","M","2000-07",6.8,
"CAN","UNEMP","TOT","PC_LF","M","2000-08",7,
"CAN","UNEMP","TOT","PC_LF","M","2000-09",6.9,
"CAN","UNEMP","TOT","PC_LF","M","2000-10",7,
"CAN","UNEMP","TOT","PC_LF","M","2000-11",6.9,
"CAN","UNEMP","TOT","PC_LF","M","2000-12",6.8,
"CAN","UNEMP","TOT","PC_LF","M","2001-01",6.9,
"CAN","UNEMP","TOT","PC_LF","M","2001-02",7,
"CAN","UNEMP","TOT","PC_LF","M","2001-03",7.1,
"CAN","UNEMP","TOT","PC_LF","M","2001-04",7.1,
"CAN","UNEMP","TOT","PC_LF","M","2001-05",7,
"CAN","UNEMP","TOT","PC_LF","M","2001-06",7.2,
"CAN","UNEMP","TOT","PC_LF","M","2001-07",7.1,
"CAN","UNEMP","TOT","PC_LF","M","2001-08",7.2,
"CAN","UNEMP","TOT","PC_LF","M","2001-09",7.2,
"CAN","UNEMP","TOT","PC_LF","M","2001-10",7.3,
"CAN","UNEMP","TOT","PC_LF","M","2001-11",7.5,
"CAN","UNEMP","TOT","PC_LF","M","2001-12",8.1,
"CAN","UNEMP","TOT","PC_LF","M","2002-01",8,
"CAN","UNEMP","TOT","PC_LF","M","2002-02",7.9,
"CAN","UNEMP","TOT","PC_LF","M","2002-03",7.9,
"CAN","UNEMP","TOT","PC_LF","M","2002-04",7.7,
"CAN","UNEMP","TOT","PC_LF","M","2002-05",7.7,
"CAN","UNEMP","TOT","PC_LF","M","2002-06",7.7,
"CAN","UNEMP","TOT","PC_LF","M","2002-07",7.6,
"CAN","UNEMP","TOT","PC_LF","M","2002-08",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2002-09",7.5,
"CAN","UNEMP","TOT","PC_LF","M","2002-10",7.5,
"CAN","UNEMP","TOT","PC_LF","M","2002-11",7.5,
"CAN","UNEMP","TOT","PC_LF","M","2002-12",7.6,
"CAN","UNEMP","TOT","PC_LF","M","2003-01",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2003-02",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2003-03",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2003-04",7.6,
"CAN","UNEMP","TOT","PC_LF","M","2003-05",7.8,
"CAN","UNEMP","TOT","PC_LF","M","2003-06",7.6,
"CAN","UNEMP","TOT","PC_LF","M","2003-07",7.6,
"CAN","UNEMP","TOT","PC_LF","M","2003-08",7.8,
"CAN","UNEMP","TOT","PC_LF","M","2003-09",7.9,
"CAN","UNEMP","TOT","PC_LF","M","2003-10",7.6,
"CAN","UNEMP","TOT","PC_LF","M","2003-11",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2003-12",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2004-01",7.3,
"CAN","UNEMP","TOT","PC_LF","M","2004-02",7.4,
"CAN","UNEMP","TOT","PC_LF","M","2004-03",7.3,
"CAN","UNEMP","TOT","PC_LF","M","2004-04",7.2,
"CAN","UNEMP","TOT","PC_LF","M","2004-05",7.1,
"CAN","UNEMP","TOT","PC_LF","M","2004-06",7.2,
"CAN","UNEMP","TOT","PC_LF","M","2004-07",7,
"CAN","UNEMP","TOT","PC_LF","M","2004-08",7,
"CAN","UNEMP","TOT","PC_LF","M","2004-09",7,
"CAN","UNEMP","TOT","PC_LF","M","2004-10",7.1,
"CAN","UNEMP","TOT","PC_LF","M","2004-11",7.2,
